country,iso3,hs10,year,tariff_max,tariff_scaled,effective_mdate
"AUSTRIA","AUT",7214200000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7214200000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7214910016,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7214910016,2019,.25,.25,2018m6
"AUSTRIA","AUT",7214910090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7214910090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7214990090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7214990090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7215500061,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7215500061,2019,.25,.25,2018m6
"AUSTRIA","AUT",7215500090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7215500090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7215905000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7215905000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7216100050,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7216100050,2019,.25,.25,2018m6
"AUSTRIA","AUT",7216500000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7216500000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7216610000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7216610000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7216690000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7216690000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7216910090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7216910090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7217105030,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7217105030,2019,.25,.25,2018m6
"AUSTRIA","AUT",7217105090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7217105090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7217107000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7217107000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7217108045,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7217108045,2019,.25,.25,2018m6
"AUSTRIA","AUT",7217109000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7217109000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7217905090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7217905090,2019,.25,.25,2018m6
"AUSTRIA","AUT",7218100000,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7218100000,2019,.25,.25,2018m6
"AUSTRIA","AUT",7218990045,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7218990045,2019,.25,.25,2018m6
"AUSTRIA","AUT",7218990090,2018,.25,.1458333,2018m6
"AUSTRIA","AUT",7218990090,2019,.25,.25,2018m6
