hs8,country,tariff,effective_date
"39219020","china",.1,24sep2018
"39219030","china",.1,24sep2018
"39221000","china",.1,24sep2018
"39222000","china",.1,24sep2018
"39229000","china",.1,24sep2018
"39231000","china",.1,24sep2018
"39232100","china",.05,24sep2018
"39232190","canada",.1,01jul2018
"39232900","china",.05,24sep2018
"39232990","canada",.1,01jul2018
"39233000","china",.05,24sep2018
"39234000","china",.1,24sep2018
"39235000","china",.05,24sep2018
"39239000","china",.1,24sep2018
"39241000","canada",.1,01jul2018
"39241000","china",.1,24sep2018
"39249000","canada",.1,01jul2018
"39249000","china",.1,24sep2018
"39251000","china",.1,24sep2018
"39252000","china",.05,24sep2018
"39253000","china",.1,24sep2018
